time,H1,L1
1420878138.3174028,1.0804873862367197e-22,2.1262459230423936e-22
1420878138.317647,1.491392506943772e-22,2.4168835825351403e-22
1420878138.3178911,4.0469394806816332e-22,2.1963909526969876e-22
1420878138.3181353,-1.8969094493304533e-22,-5.956621922670515e-24
1420878138.3183794,3.3853323140620965e-22,-2.228638512730051e-22
1420878138.3186235,1.628566513094658e-22,-9.483461668262266e-23
1420878138.3188677,-3.8380470258927498e-22,-8.78437035060275e-23
1420878138.3191118,7.932721993147584e-23,-5.352390101705669e-22
1420878138.319356,-1.1279615164481046e-23,3.519022243279576e-22
1420878138.3196,6.135773514299312e-22,-3.9468120688698176e-22
1420878138.3198442,-8.998424097246058e-24,1.5004239598146387e-22
1420878138.3200884,-3.199900380255212e-23,1.5478251797995457e-22
1420878138.3203325,3.398320423301914e-22,4.718062893301678e-23
1420878138.3205767,-2.6469873431163827e-22,1.5730671115446825e-22
1420878138.3208208,6.983602993312154e-22,5.0895060623874865e-23
1420878138.321065,-6.835325519585873e-23,4.761950294742478e-23
1420878138.321309,4.750512914061899e-22,1.5282916892057983e-22
1420878138.3215532,-1.6490656577887906e-22,9.846820129870377e-23
1420878138.3217974,2.0503339710510494e-22,7.39214361643422e-24
1420878138.3220415,-4.586169594838939e-22,2.7536107298032817e-22
1420878138.3222857,7.244399014754187e-22,8.193967890300212e-23
1420878138.3225298,-3.9955578872755775e-22,1.205077088909016e-22
1420878138.322774,4.1640157959384503e-22,3.557494745814222e-23
1420878138.323018,-3.1825251754471873e-22,-8.726509454060103e-23
1420878138.3232622,7.600525256164241e-23,-2.7399965422643837e-22
1420878138.3235064,5.234646734340426e-22,3.3557936496771665e-22
1420878138.3237505,-2.5437903457048464e-22,-5.019251831413425e-22
1420878138.3239946,-2.2668645116251324e-22,4.0415774973418305e-22
1420878138.3242388,2.941214333060078e-22,-2.27759976347301e-22
1420878138.324483,7.914491200974614e-23,4.775355066277586e-22
1420878138.324727,-4.660295834654156e-22,-2.917259043454387e-22
1420878138.3249712,2.7653071199983376e-22,4.925769673522157e-23
1420878138.3252153,-3.5014118950636733e-22,-6.609033318369102e-23
1420878138.3254595,3.359754908445967e-22,-1.101504752934802e-22
1420878138.3257036,4.2104424363680615e-23,4.433861469182358e-22
1420878138.3259478,3.645248346180457e-22,-1.7875273493132927e-22
1420878138.326192,8.758168194201086e-24,-3.505353483947943e-22
1420878138.326436,2.3300261130311305e-22,4.340289791930045e-22
1420878138.3266802,-4.100302361698316e-22,1.43052139940434e-23
1420878138.3269243,7.636579760029383e-23,1.064905783954847e-22
1420878138.3271685,6.305905317590661e-23,-3.254716630778896e-22
1420878138.3274126,-2.3762930832915207e-22,2.679930993970023e-22
1420878138.3276567,2.342322093015589e-22,-4.0389969841741265e-22
1420878138.327901,-1.5116854967827542e-22,2.202588412307614e-22
1420878138.328145,-1.0285304873305626e-23,3.2123831111534346e-22
1420878138.3283892,1.932172203974556e-23,-4.202933853822312e-23
1420878138.3286333,-1.8612273819195508e-22,2.1578383955174096e-23
1420878138.3288774,-2.5529870676929294e-22,9.422039523658912e-23
1420878138.3291216,5.844034416881315e-23,2.659153052152612e-22
1420878138.3293657,1.0867211388850679e-23,-4.127306560873811e-22
